Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
GABBR1	GPRC3A, hGB1a	ENSG00000204681	Gamma-aminobutyric acid type B receptor subunit 1	6	29555629-29633976	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA050483, HPA058459	Uncertain		Approved	Centrosome	Renal cancer:3.77e-10 (unfavourable), Pancreatic cancer:2.54e-5 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 20.8	spleen: 13.1	Cell line enhanced		U-2 OS: 6.7
GABRA1	EJM5	ENSG00000022355	Gamma-aminobutyric acid type A receptor alpha1 subunit	5	161847063-161899981	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB022502, HPA055746	Enhanced					Tissue enriched	Tissue enriched	46	cerebral cortex: 85.0	adrenal gland: 1.8	Not detected		
GABRA2		ENSG00000151834	Gamma-aminobutyric acid type A receptor alpha2 subunit	4	46248427-46475230	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	CAB079061		Supported				Tissue enhanced	Tissue enriched	7	cerebral cortex: 74.3	epididymis: 11.3	Cell line enhanced		U-2 OS: 4.9;U-87 MG: 2.2;WM-115: 2.5
GABRA5		ENSG00000186297	Gamma-aminobutyric acid type A receptor alpha5 subunit	15	26866363-26949207	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA077031, CAB079022		Supported	Supported	Plasma membrane		Mixed	Tissue enriched	43	cerebral cortex: 81.6	esophagus: 1.8	Group enriched	10	A549: 32.7;HAP1: 12.7;NTERA-2: 14.6;U-2 OS: 13.1
GABRD		ENSG00000187730	Gamma-aminobutyric acid type A receptor delta subunit	1	2019298-2030758	Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA044371	Enhanced		Uncertain	Golgi apparatus<br>Vesicles	Renal cancer:4.12e-8 (unfavourable)	Expressed in all	Tissue enriched	12	cerebral cortex: 34.0	testis: 2.7	Cell line enhanced		EFO-21: 1.3;MCF7: 3.1;NB-4: 1.6;SH-SY5Y: 1.6
GABRG3		ENSG00000182256	Gamma-aminobutyric acid type A receptor gamma3 subunit	15	26971282-27541991	FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA054010	Supported					Tissue enhanced	Tissue enhanced		prostate: 10.6;testis: 16.5	cerebral cortex: 4.2	Cell line enhanced		K-562: 4.0;PC-3: 5.1;U-87 MG: 14.0
GABRP		ENSG00000094755	Gamma-aminobutyric acid type A receptor pi subunit	5	170763350-170814047	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB014883	Uncertain				Cervical cancer:3.37e-4 (favourable)	Mixed	Expressed in all			breast: 177.0	Cell line enhanced		A-431: 184.7;EFO-21: 182.4;PC-3: 293.8
GAL	GAL-GMAP, GALN, GLNN, GMAP	ENSG00000069482	Galanin and GMAP prepropeptide	11	68683779-68691175	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA049864	Enhanced	Supported	Approved	Golgi apparatus<br>Vesicles	Endometrial cancer:1.22e-4 (unfavourable), Lung cancer:8.17e-4 (unfavourable)	Mixed	Tissue enhanced		appendix: 18.1;smooth muscle: 12.1	colon: 5.2	Cell line enhanced		CACO-2: 193.9;K-562: 111.4;NB-4: 277.5;SH-SY5Y: 179.1
GALC		ENSG00000054983	Galactosylceramidase	14	87837820-87993665	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB022196	Approved					Expressed in all	Expressed in all			testis: 44.0	Cell line enhanced		CAPAN-2: 72.3;HMC-1: 67.2
GALNS	GALNAC6S, GAS	ENSG00000141012	Galactosamine (N-acetyl)-6-sulfatase	16	88813734-88856970	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB026404, HPA042433	Enhanced		Approved	Cytosol	Liver cancer:3.66e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 29.7	Expressed in all		
GALNT15	GALNT7, GALNTL2, pp-GalNAc-T15	ENSG00000131386	Polypeptide N-acetylgalactosaminyltransferase 15	3	16174649-16231992	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA017076	Uncertain		Approved	Golgi apparatus<br>Cytosol		Tissue enriched	Tissue enhanced		adipose tissue: 36.3;cerebral cortex: 41.2;placenta: 43.0	breast: 18.3	Group enriched	11	ASC diff: 91.0;ASC TERT1: 90.9;HSkMC: 72.4;U-2197: 22.3
GALNT2	GalNAc-T2	ENSG00000143641	Polypeptide N-acetylgalactosaminyltransferase 2	1	230057990-230282124	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA011222	Supported		Enhanced	Golgi apparatus	Renal cancer:2.79e-13 (unfavourable), Lung cancer:8.48e-8 (unfavourable), Cervical cancer:1.22e-6 (unfavourable)	Expressed in all	Expressed in all			ovary: 48.5	Expressed in all		
GALP		ENSG00000197487	Galanin like peptide	19	56176020-56185775	Predicted secreted proteins	Evidence at transcript level	HPA053938	Uncertain					Tissue enhanced	Not detected			liver: 0.3	Not detected		
GANAB	G2AN, GIIA, GluII, KIAA0088	ENSG00000089597	Glucosidase II alpha subunit	11	62624826-62646726	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA026874, HPA061426	Enhanced		Approved	Nuclear membrane<br>Endoplasmic reticulum<br>Cytosol	Liver cancer:1.27e-5 (unfavourable), Urothelial cancer:9.54e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 295.2	Expressed in all		
GAPVD1	DKFZP434C212, KIAA1521	ENSG00000165219	GTPase activating protein and VPS9 domains 1	9	125261794-125367207	Predicted intracellular proteins	Evidence at protein level	HPA029386, HPA029387	Uncertain		Supported	Cytosol		Expressed in all	Expressed in all			testis: 49.2	Expressed in all		
GARS	CMT2D, DSMAV, GlyRS, SMAD1	ENSG00000106105	Glycyl-tRNA synthetase	7	30594681-30634033	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA017896, HPA019097	Enhanced		Supported	Cytosol	Renal cancer:1.70e-5 (unfavourable), Urothelial cancer:3.04e-5 (unfavourable), Liver cancer:8.95e-5 (unfavourable), Breast cancer:1.02e-4 (unfavourable), Endometrial cancer:8.48e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 96.0	Expressed in all		
GAS1		ENSG00000180447	Growth arrest specific 1	9	86944363-86947189	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	CAB024164, HPA036085, HPA066902	Approved		Approved	Nuclear speckles	Thyroid cancer:1.13e-5 (unfavourable), Renal cancer:1.96e-5 (unfavourable), Colorectal cancer:1.55e-4 (unfavourable), Stomach cancer:8.26e-4 (unfavourable)	Expressed in all	Tissue enhanced		endometrium: 110.8	smooth muscle: 74.4	Cell line enhanced		AN3-CA: 44.7;BJ hTERT+: 53.4;RH-30: 95.7
GAS6	AXLLG, AXSF, DKFZp666G247, FLJ34709	ENSG00000183087	Growth arrest specific 6	13	113820549-113864067	Predicted secreted proteins	Evidence at protein level	HPA008275, HPA056080	Approved		Approved	Microtubule organizing center<br>Cytosol	Urothelial cancer:8.93e-6 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 193.7	Cell line enhanced		BJ: 295.0;BJ hTERT+: 407.1;RPMI-8226: 339.8
GAST	GAS	ENSG00000184502	Gastrin	17	41712326-41715969	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	CAB000038	Supported					Group enriched	Tissue enriched	200	stomach: 11203.5	duodenum: 55.9	Group enriched	6	BEWO: 2.6;HaCaT: 4.7;hTCEpi: 2.3
GC	DBP, hDBP, VDBP	ENSG00000145321	GC, vitamin D binding protein	4	71741693-71804041	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA001526, CAB008596, HPA019855	Supported				Renal cancer:5.81e-5 (unfavourable), Liver cancer:8.08e-4 (favourable)	Tissue enriched	Tissue enriched	5	liver: 3875.6	gallbladder: 712.5	Cell line enhanced		HL-60: 1.4;RH-30: 2.5;SiHa: 1.3
GCG	GLP1, GLP2, GRPP	ENSG00000115263	Glucagon	2	162142873-162152404	Predicted secreted proteins	Evidence at protein level	CAB000040, HPA036760, HPA036761	Enhanced		Supported	Endoplasmic reticulum<br>Vesicles		Tissue enriched	Tissue enhanced		pancreas: 346.3;rectum: 137.2;small intestine: 123.9	colon: 69.4	Group enriched	7	EFO-21: 100.6;U-2 OS: 158.1
GCGR	GGR	ENSG00000215644	Glucagon receptor	17	81804132-81814013	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA071228			Approved	Golgi apparatus		Tissue enhanced	Group enriched	7	adrenal gland: 6.6;kidney: 8.4;liver: 20.8;parathyroid gland: 8.0	skin: 1.6	Cell line enhanced		HeLa: 1.2;MCF7: 2.2;SK-BR-3: 1.8;U-87 MG: 2.7
GCSH		ENSG00000140905	Glycine cleavage system protein H	16	81081938-81096425	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA041368	Approved		Approved	Vesicles	Renal cancer:6.26e-6 (favourable)	Expressed in all	Expressed in all			thyroid gland: 157.3	Expressed in all		
GDF1		ENSG00000130283	Growth differentiation factor 1	19	18868545-18896096	Disease related genes, Predicted secreted proteins	Evidence at protein level							Not detected	Tissue enriched	7	cerebral cortex: 12.2	testis: 1.7	Cell line enhanced		EFO-21: 2.8;HEK 293: 3.3;NB-4: 3.1;NTERA-2: 2.4;SCLC-21H: 2.4
GDF10	BMP-3b	ENSG00000266524	Growth differentiation factor 10	10	47300386-47313547	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA015498	Uncertain					Mixed	Tissue enhanced		lung: 19.6	testis: 9.0	Cell line enhanced		AF22: 14.6;MOLT-4: 2.6;SH-SY5Y: 6.4
GDF11	BMP-11	ENSG00000135414	Growth differentiation factor 11	12	55743280-55757278	Predicted secreted proteins	Evidence at protein level	HPA060985, HPA069609	Enhanced		Approved	Vesicles	Pancreatic cancer:1.08e-4 (favourable)	Expressed in all	Mixed			cerebral cortex,seminal vesicle: 13.3	Cell line enhanced		HMC-1: 112.3
GDF15	MIC-1, MIC1, NAG-1, PDF, PLAB, PTGFB	ENSG00000130513	Growth differentiation factor 15	19	18374731-18389176	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA011191, CAB062554, HPA070957	Enhanced		Enhanced	Golgi apparatus		Expressed in all	Tissue enhanced		placenta: 122.1;prostate: 74.5	kidney: 41.6	Cell line enhanced		BEWO: 401.5;HHSteC: 474.6
GDF2	BMP-9, BMP9	ENSG00000263761	Growth differentiation factor 2	10	47322490-47326270	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB023357	Uncertain					Not detected	Tissue enriched	61	liver: 11.3	placenta,testis: 0.1	Not detected		
GDF3		ENSG00000184344	Growth differentiation factor 3	12	7689782-7695776	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA018468	Uncertain					Tissue enriched	Tissue enhanced		kidney: 1.1;spleen: 1.1	testis: 0.8	Cell line enriched	14	NTERA-2: 450.4
GDF5	BMP14, CDMP1	ENSG00000125965	Growth differentiation factor 5	20	35433347-35454746	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA015648	Uncertain					Tissue enriched	Tissue enhanced		salivary gland: 4.1	seminal vesicle: 1.7	Cell line enhanced		ASC TERT1: 12.2;BJ hTERT+: 4.4;HHSteC: 4.8;HSkMC: 10.3;U-87 MG: 6.5
GDF6	BMP13, KFS, KFS1, SGM1	ENSG00000156466	Growth differentiation factor 6	8	96142330-96160792	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA045206	Uncertain		Supported	Nucleoplasm<br>Nuclear membrane<br>Vesicles	Renal cancer:2.17e-4 (unfavourable)	Tissue enhanced	Tissue enhanced		placenta: 15.1	gallbladder: 3.8	Cell line enriched	7	LHCN-M2: 27.7
GDF7	BMP12	ENSG00000143869	Growth differentiation factor 7	2	20666664-20679245	Predicted secreted proteins	Evidence at transcript level							Mixed	Tissue enhanced		seminal vesicle: 29.5	endometrium: 11.5	Cell line enhanced		HAP1: 1.7;Hep G2: 2.8;RT4: 6.2;SH-SY5Y: 3.3
GDF9		ENSG00000164404	Growth differentiation factor 9	5	132861181-132866884	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA069146	Supported					Tissue enriched	Group enriched	5	epididymis: 5.0;testis: 14.1	thyroid gland: 1.8	Mixed		
GDNF	ATF1, ATF2, HFB1-GDNF	ENSG00000168621	Glial cell derived neurotrophic factor	5	37812677-37839686	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB005210, HPA070283	Supported		Approved	Nucleoplasm<br>Vesicles		Mixed	Mixed			placenta: 7.0	Cell line enhanced		hTEC/SVTERT24-B: 41.1;U-87 MG: 12.1;WM-115: 45.1
GFPT2	GFAT2	ENSG00000131459	Glutamine-fructose-6-phosphate transaminase 2	5	180300690-180353387	Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA056892, HPA059910	Uncertain		Supported	Vesicles	Renal cancer:2.58e-14 (unfavourable), Lung cancer:2.95e-4 (unfavourable), Thyroid cancer:3.47e-4 (unfavourable), Cervical cancer:9.09e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 90.9	appendix: 25.7	Cell line enhanced		ASC TERT1: 138.7;hTEC/SVTERT24-B: 242.9;U-87 MG: 409.1
GFRA2	GDNFRB, NTNRA, RETL2, TRNR2	ENSG00000168546	GDNF family receptor alpha 2	8	21690403-21812357	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA024704, CAB032791	Uncertain		Uncertain	Vesicles		Tissue enriched	Tissue enhanced		thyroid gland: 13.4	spleen: 9.5	Group enriched	12	HEL: 8.1;HMC-1: 17.5;WM-115: 3.6
GFRA4		ENSG00000125861	GDNF family receptor alpha 4	20	3659292-3663399	Predicted secreted proteins	Evidence at protein level							Tissue enhanced	Tissue enhanced		thyroid gland: 1.4	testis: 0.3	Not detected		
GGH		ENSG00000137563	Gamma-glutamyl hydrolase	8	63015079-63039171	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB019296, HPA025226	Approved				Endometrial cancer:3.99e-7 (unfavourable), Lung cancer:1.65e-4 (unfavourable)	Expressed in all	Tissue enhanced		kidney: 90.0	liver: 63.2	Mixed		
GH1	GH, GH-N, GHN, hGH-N	ENSG00000259384	Growth hormone 1	17	63917200-63918838	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA043715	Supported					Not detected	Tissue enhanced		placenta: 1.2	duodenum: 0.6	Cell line enhanced		U-698: 1.8
GH2	GH-V, GHL, GHV, hGH-V	ENSG00000136487	Growth hormone 2	17	63880215-63881935	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	HPA043715	Supported					Not detected	Tissue enriched	199	placenta: 189.1	smooth muscle: 0.9	Cell line enriched	21	BEWO: 7.8
GHDC	LGP1	ENSG00000167925	GH3 domain containing	17	42188799-42194532	Plasma proteins, Predicted secreted proteins	Evidence at protein level	HPA031650	Uncertain				Renal cancer:2.00e-6 (favourable), Glioma:5.91e-5 (unfavourable), Endometrial cancer:3.21e-4 (favourable), Ovarian cancer:5.20e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 29.2	Mixed		
GHRH	GHRF	ENSG00000118702	Growth hormone releasing hormone	20	37251082-37261835	Predicted secreted proteins	Evidence at protein level							Tissue enriched	Tissue enhanced		adrenal gland: 1.4;duodenum: 3.4	small intestine: 1.2	Cell line enhanced		NTERA-2: 2.0;U-266/84: 5.4
GHRL	ghrelin, MTLRP, obestatin	ENSG00000157017	Ghrelin and obestatin prepropeptide	3	10285675-10292947	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA014246, CAB022731	Enhanced					Mixed	Tissue enriched	8	stomach: 156.2	duodenum: 19.0	Cell line enhanced		Karpas-707: 10.4
GIF	IF, IFMH, INF, TCN3	ENSG00000134812	Gastric intrinsic factor	11	59829268-59845501	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA039908, HPA040774	Enhanced					Tissue enriched	Tissue enriched	1701	stomach: 1311.7	cerebral cortex: 0.7	Not detected		
GIP		ENSG00000159224	Gastric inhibitory polypeptide	17	48958554-48968596	Plasma proteins, Predicted secreted proteins	Evidence at protein level	CAB016729, HPA021612	Enhanced					Tissue enriched	Group enriched	156	duodenum: 261.3;small intestine: 93.9	stomach: 1.1	Cell line enhanced		A549: 6.0;BEWO: 5.7;Hep G2: 6.5
GKN2	blottin, BRICD1B, GDDR, PRO813, TFIZ1, VLTI465	ENSG00000183607	Gastrokine 2	2	68945232-68952970	Predicted secreted proteins	Evidence at protein level	HPA057765	Enhanced					Tissue enriched	Tissue enriched	37	stomach: 3843.6	lung: 103.7	Cell line enhanced		A549: 1.6;HMC-1: 1.5;NTERA-2: 2.1;PC-3: 3.6;U-2 OS: 1.5;U-266/70: 1.3
GLA	GALA	ENSG00000102393	Galactosidase alpha	X	101397803-101407925	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA000237, HPA000966	Enhanced				Liver cancer:5.62e-5 (unfavourable), Stomach cancer:6.16e-4 (favourable)	Expressed in all	Expressed in all			seminal vesicle: 59.2	Expressed in all		
GLB1	EBP, ELNR1	ENSG00000170266	Galactosidase beta 1	3	32996608-33097230	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB008382, HPA040610, HPA069503	Enhanced		Supported	Golgi apparatus<br>Vesicles	Renal cancer:1.14e-5 (favourable)	Expressed in all	Expressed in all			epididymis: 122.5	Cell line enriched	5	BEWO: 804.9
GLB1L	MGC10771	ENSG00000163521	Galactosidase beta 1 like	2	219236606-219245478	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA043058	Enhanced					Expressed in all	Tissue enhanced		testis: 95.4	fallopian tube: 37.3	Mixed		
GLG1	CFR-1, ESL-1, MG-160	ENSG00000090863	Golgi glycoprotein 1	16	74447427-74607144	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA010815	Supported		Enhanced	Golgi apparatus	Renal cancer:1.56e-7 (favourable), Cervical cancer:1.99e-4 (unfavourable), Urothelial cancer:7.97e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 167.1	Expressed in all		
