"Gene","Plate number","Well number","Clone ID","ORF_length","Trans_mem_ref_acc","Other_acc","Definition","Accession","Protein","LocusLink ID","Unigene ID","Gene synonym","Ensembl","Gene description","Chromosome","Position","Protein class","Evidence","Antibody","Reliability (IH)","Reliability (Mouse Brain)","Reliability (IF)","Subcellular location","Prognostic p-value","RNA cancer category","RNA tissue category","RNA TS","RNA TS TPM","TPM max in non-specific","RNA cell line category","RNA CS","RNA CS TPM"
"IL17B",106,"E9","IOH43021",543,"0",NA,"interleukin 17B (IL17B), mRNA.","NM_014443.2","NP_055258.1",27190,"Hs.156979","IL-17B, IL-20, MGC138900, MGC138901, NIRF, ZCYTO7","ENSG00000127743","Interleukin 17B","5","149371324-149404202","Cancer-related genes, Predicted secreted proteins","Evidence at protein level","HPA042441","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"breast: 4.0","smooth muscle: 3.3","Cell line enhanced",NA,"HEL: 1.2"
"IL17C",140,"A2","IOH34775",594,"0",NA,"interleukin 17C (IL17C), mRNA.","NM_013278.3","NP_037410.1",27189,"Hs.278911","CX2, IL-17C, IL-21, MGC126884, MGC138401","ENSG00000124391","Interleukin 17C","16","88638591-88640473","Predicted secreted proteins","Evidence at protein level","HPA065051","Supported",NA,NA,NA,NA,"Mixed","Tissue enriched",6,"endometrium: 3.5","gallbladder: 0.6","Not detected",NA,NA
"IL17D",119,"B10","IOH27522",609,"0",NA,"interleukin 17D (IL17D), mRNA.","NM_138284.1","NP_612141.1",53342,"Hs.655142","FLJ30846, IL-17D, IL-22, IL-27, IL27","ENSG00000172458","Interleukin 17D","13","20702127-20723098","Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Group enriched","Group enriched",7,"cerebral cortex: 100.2;skeletal muscle: 45.9","ovary: 10.2","Mixed",NA,NA
"IL17F",146,"D6","IOH63032",492,"0",NA,"interleukin 17F, mRNA (cDNA clone MGC:88102 IMAGE:30417554), complete cds","BC070124.1","AAH70124.1",112744,"Hs.272295","IL-17F, ML-1, ML1","ENSG00000112116","Interleukin 17F","6","52236681-52244537","Disease related genes, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Not detected","Tissue enhanced",NA,"tonsil: 1.8","urinary bladder: 0.9","Not detected",NA,NA
"IL17F",140,"C2","IOH35145",492,"0",NA,"interleukin 17F (IL17F), mRNA.","NM_052872.3","NP_443104.1",112744,"Hs.272295","IL-17F, ML-1, ML1","ENSG00000112116","Interleukin 17F","6","52236681-52244537","Disease related genes, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Not detected","Tissue enhanced",NA,"tonsil: 1.8","urinary bladder: 0.9","Not detected",NA,NA
"IL17RA",122,"B1","IOH14478",2601,"NP_055154.3","AAH11624.1","interleukin 17 receptor A, mRNA (cDNA clone MGC:10262 IMAGE:4053746), complete cds","BC011624.2","AAH11624.1",23765,"Hs.129751","CD217, CDw217, hIL-17R, IL-17RA, IL17R","ENSG00000177663","Interleukin 17 receptor A","22","17084954-17115694","CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","CAB024996","Enhanced",NA,"Approved","Nucleoplasm<br>Cytosol","Stomach cancer:8.35e-4 (favourable)","Expressed in all","Mixed",NA,NA,"bone marrow: 20.6","Cell line enhanced",NA,"HL-60: 47.4;THP-1: 50.1"
"IL17RE",97,"H11","IOH40721",816,"NP_705613.1","AAH63110.1","interleukin 17 receptor E, mRNA (cDNA clone IMAGE:30372618), complete cds.","BC063110.1","AAH63110.1",132014,"Hs.390823","FLJ23658","ENSG00000163701","Interleukin 17 receptor E","3","9902612-9916402","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA019011","Uncertain",NA,NA,NA,NA,"Expressed in all","Mixed",NA,NA,"small intestine: 22.6","Cell line enhanced",NA,"ASC TERT1: 27.7;BEWO: 14.7;T-47d: 18.4"
"IL18BP",62,"B10","IOH26376",585,"0",NA,"interleukin 18 binding protein (IL18BP), transcript variant E, mRNA.","NM_001039659.1","NP_001034748.1",10068,"Hs.591967","IL18BPa","ENSG00000137496","Interleukin 18 binding protein","11","71998541-72005715","Predicted secreted proteins","Evidence at protein level","CAB025980, HPA041061","Enhanced",NA,"Approved","Endoplasmic reticulum","Renal cancer:2.93e-6 (unfavourable)","Expressed in all","Tissue enhanced",NA,"spleen: 56.2","appendix: 32.8","Mixed",NA,NA
"IL18R1",132,"B4","IOH39727",1626,"NP_003846.1","NP_003846.1","interleukin 18 receptor 1 (IL18R1), mRNA.","NM_003855.2","NP_003846.1",8809,"Hs.469521","CD218a, IL-1Rrp, IL1RRP","ENSG00000115604","Interleukin 18 receptor 1","2","102311529-102398775","CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007615","Approved",NA,"Approved","Mitochondria","Renal cancer:4.52e-4 (unfavourable)","Mixed","Mixed",NA,NA,"placenta: 14.4","Cell line enhanced",NA,"HDLM-2: 28.1;HHSteC: 51.3;HMC-1: 36.8;U-937: 54.3"
"IL18RAP",70,"B9","IOH29704",1800,"NP_003844.1","NP_003844.1","interleukin 18 receptor accessory protein (IL18RAP), mRNA.","NM_003853.2","NP_003844.1",8807,"Hs.158315","AcPL, CD218b","ENSG00000115607","Interleukin 18 receptor accessory protein","2","102418689-102452565","CD markers, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","CAB025270","Enhanced",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"bone marrow: 70.9","appendix: 16.9","Cell line enriched",10,"U-937: 42.2"
"IL19",139,"F12","IOH34776",534,"0",NA,"interleukin 19 (IL19), transcript variant 2, mRNA.","NM_013371.2","NP_037503.2",29949,"Hs.661017","IL-10C, IL-19, MDA1, NG.1, ZMDA1","ENSG00000142224","Interleukin 19","1","206798870-206842981","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Tissue enhanced","Tissue enriched",9,"cervix, uterine: 21.0","salivary gland: 2.3","Cell line enriched",11,"BJ hTERT+: 4.9"
"IL19",151,"G1","IOH35292",648,"0",NA,"interleukin 19 (IL19), transcript variant 1, mRNA.","NM_153758.1","NP_715639.1",29949,"Hs.661017","IL-10C, IL-19, MDA1, NG.1, ZMDA1","ENSG00000142224","Interleukin 19","1","206798870-206842981","Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Tissue enhanced","Tissue enriched",9,"cervix, uterine: 21.0","salivary gland: 2.3","Cell line enriched",11,"BJ hTERT+: 4.9"
"IL1R1",95,"H2","IOH40164",1710,"0",NA,"interleukin 1 receptor, type I (IL1R1), mRNA.","NM_000877.2","NP_000868.1",3554,"Hs.701982","CD121A, D2S1473, IL1R, IL1RA","ENSG00000115594","Interleukin 1 receptor type 1","2","102064544-102179874","Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA005823, CAB007779, HPA029560","Approved",NA,NA,NA,"Renal cancer:6.92e-6 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"cervix, uterine: 246.0","Cell line enhanced",NA,"ASC diff: 431.3;ASC TERT1: 195.1;HHSteC: 165.4;HSkMC: 562.6"
"IL1R1",155,"H2","IOH62523",1710,"0",NA,"interleukin 1 receptor, type I, mRNA (cDNA clone MGC:79371 IMAGE:7002111), complete cds","BC067508.1","AAH67508.1",3554,"Hs.701982","CD121A, D2S1473, IL1R, IL1RA","ENSG00000115594","Interleukin 1 receptor type 1","2","102064544-102179874","Cancer-related genes, CD markers, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA005823, CAB007779, HPA029560","Approved",NA,NA,NA,"Renal cancer:6.92e-6 (unfavourable)","Expressed in all","Expressed in all",NA,NA,"cervix, uterine: 246.0","Cell line enhanced",NA,"ASC diff: 431.3;ASC TERT1: 195.1;HHSteC: 165.4;HSkMC: 562.6"
"IL1R2",91,"B1","IOH26113",1197,"NP_004624.1","NP_004624.1","interleukin 1 receptor, type II (IL1R2), transcript variant 1, mRNA.","NM_004633.3","NP_004624.1",7850,"Hs.25333","CD121b, IL1RB","ENSG00000115590","Interleukin 1 receptor type 2","2","101991844-102028544","Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA027597, HPA027598","Uncertain",NA,NA,NA,"Renal cancer:5.58e-12 (unfavourable)","Mixed","Mixed",NA,NA,"appendix: 50.3","Cell line enriched",24,"HDLM-2: 436.8"
"IL1RAP",151,"E6","IOH60824",1071,"NP_002173.1","NP_608273.1","interleukin 1 receptor accessory protein (IL1RAP), transcript variant 2, mRNA.","NM_134470.2","NP_608273.1",3556,"Hs.478673","C3orf13, IL-1RAcP, IL1R3","ENSG00000196083","Interleukin 1 receptor accessory protein","3","190514051-190659750","Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA035293","Uncertain",NA,"Approved","Vesicles<br>Cytosol","Renal cancer:2.16e-7 (unfavourable), Pancreatic cancer:1.31e-4 (unfavourable), Urothelial cancer:6.29e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"liver: 113.0;placenta: 53.7","gallbladder: 19.8","Cell line enhanced",NA,"SK-MEL-30: 193.6"
"IL1RL1",71,"G6","IOH29806",987,"0",NA,"interleukin 1 receptor-like 1 (IL1RL1), transcript variant 2, mRNA.","NM_003856.2","NP_003847.2",9173,"Hs.66","DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1","ENSG00000115602","Interleukin 1 receptor like 1","2","102311502-102352037","Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007406, HPA007917","Uncertain",NA,"Approved","Vesicles",NA,"Tissue enhanced","Tissue enriched",12,"placenta: 289.6","gallbladder: 23.7","Group enriched",6,"HHSteC: 206.0;HMC-1: 327.3;HUVEC TERT2: 154.2"
"IL1RL1",110,"E4","IOH41470",780,"0",NA,"Interleukin-1 receptor-like 1 Precursor (Protein ST2) [Source:UniProtKB/Swiss-Prot;Acc:Q01638]","ENST00000393393","ENSP00000377052",9173,"Hs.66","DER4, FIT-1, IL33R, ST2, ST2L, ST2V, T1","ENSG00000115602","Interleukin 1 receptor like 1","2","102311502-102352037","Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","Evidence at protein level","HPA007406, HPA007917","Uncertain",NA,"Approved","Vesicles",NA,"Tissue enhanced","Tissue enriched",12,"placenta: 289.6","gallbladder: 23.7","Group enriched",6,"HHSteC: 206.0;HMC-1: 327.3;HUVEC TERT2: 154.2"
"IL1RN",107,"G2","IOH42169",534,"0",NA,"interleukin 1 receptor antagonist (IL1RN), transcript variant 1, mRNA.","NM_173842.1","NP_776214.1",3557,"Hs.81134","ICIL-1RA, IL-1RN, IL1F3, IL1RA, IRAP, MGC10430","ENSG00000136689","Interleukin 1 receptor antagonist","2","113107214-113134016","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA001482, CAB009633","Enhanced",NA,NA,NA,"Renal cancer:2.66e-6 (unfavourable), Endometrial cancer:3.00e-4 (unfavourable), Pancreatic cancer:6.85e-4 (unfavourable), Testis cancer:8.23e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"esophagus: 1243.9","tonsil: 290.5","Cell line enhanced",NA,"A-431: 51.8;HaCaT: 100.6;RT4: 89.4"
"IL1RN",112,"F12","IOH45793",432,"0",NA,"interleukin 1 receptor antagonist (IL1RN), transcript variant 4, mRNA.","NM_173843.1","NP_776215.1",3557,"Hs.81134","ICIL-1RA, IL-1RN, IL1F3, IL1RA, IRAP, MGC10430","ENSG00000136689","Interleukin 1 receptor antagonist","2","113107214-113134016","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA001482, CAB009633","Enhanced",NA,NA,NA,"Renal cancer:2.66e-6 (unfavourable), Endometrial cancer:3.00e-4 (unfavourable), Pancreatic cancer:6.85e-4 (unfavourable), Testis cancer:8.23e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"esophagus: 1243.9","tonsil: 290.5","Cell line enhanced",NA,"A-431: 51.8;HaCaT: 100.6;RT4: 89.4"
"IL1RN",134,"F9","IOH57147",480,"0",NA,"interleukin 1 receptor antagonist (IL1RN), transcript variant 3, mRNA.","NM_000577.3","NP_000568.1",3557,"Hs.81134","ICIL-1RA, IL-1RN, IL1F3, IL1RA, IRAP, MGC10430","ENSG00000136689","Interleukin 1 receptor antagonist","2","113107214-113134016","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","HPA001482, CAB009633","Enhanced",NA,NA,NA,"Renal cancer:2.66e-6 (unfavourable), Endometrial cancer:3.00e-4 (unfavourable), Pancreatic cancer:6.85e-4 (unfavourable), Testis cancer:8.23e-4 (unfavourable)","Expressed in all","Tissue enhanced",NA,"esophagus: 1243.9","tonsil: 290.5","Cell line enhanced",NA,"A-431: 51.8;HaCaT: 100.6;RT4: 89.4"
"IL2",99,"A5","IOH40161",462,"0",NA,"interleukin 2 (IL2), mRNA.","NM_000586.3","NP_000577.2",3558,"Hs.89679","IL-2, TCGF","ENSG00000109471","Interleukin 2","4","122451470-122456725","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB010310","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"rectum,small intestine,tonsil: 0.3","Not detected",NA,NA
"IL2",155,"F10","IOH61852",462,"0",NA,"interleukin 2, mRNA (cDNA clone MGC:79374 IMAGE:6971693), complete cds","BC066256.1","AAH66256.1",3558,"Hs.89679","IL-2, TCGF","ENSG00000109471","Interleukin 2","4","122451470-122456725","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB010310","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"rectum,small intestine,tonsil: 0.3","Not detected",NA,NA
"IL2",155,"B11","IOH61859",462,"0",NA,"interleukin 2, mRNA (cDNA clone MGC:79372 IMAGE:6971690), complete cds","BC066254.1","AAH66254.1",3558,"Hs.89679","IL-2, TCGF","ENSG00000109471","Interleukin 2","4","122451470-122456725","Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level","CAB010310","Uncertain",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"rectum,small intestine,tonsil: 0.3","Not detected",NA,NA
"IL20",95,"A6","IOH40238",531,"0",NA,"interleukin 20 (IL20), mRNA.","NM_018724.3","NP_061194.2",50604,"Hs.272373","IL-20, IL10D, ZCYTO10","ENSG00000162891","Interleukin 20","1","206865354-206869223","Predicted secreted proteins","Evidence at protein level","CAB025802","Uncertain",NA,NA,NA,NA,"Tissue enhanced","Tissue enhanced",NA,"smooth muscle: 1.0","seminal vesicle: 0.8","Cell line enhanced",NA,"SiHa: 1.9"
"IL21",95,"G2","IOH40163",489,"0",NA,"interleukin 21 (IL21), mRNA.","NM_021803.2","NP_068575.1",59067,"Hs.567559","IL-21, Za11","ENSG00000138684","Interleukin 21","4","122612628-122621069","Disease related genes, Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Not detected","Tissue enhanced",NA,"lymph node: 18.1;tonsil: 6.3","testis: 4.1","Not detected",NA,NA
"IL22",155,"B12","IOH61828",540,"0",NA,"interleukin 22, mRNA (cDNA clone MGC:79384 IMAGE:6971857), complete cds","BC066265.1","AAH66265.1",50616,"Hs.287369","IL-21, IL-22, IL-D110, IL-TIF, ILTIF, MGC79382, MGC79384, TIFa, TIFIL-23, zcyto18","ENSG00000127318","Interleukin 22","12","68248242-68253607","Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"appendix,urinary bladder: 0.8","Not detected",NA,NA
"IL22",99,"B5","IOH40162",540,"0",NA,"interleukin 22 (IL22), mRNA.","NM_020525.4","NP_065386.1",50616,"Hs.287369","IL-21, IL-22, IL-D110, IL-TIF, ILTIF, MGC79382, MGC79384, TIFa, TIFIL-23, zcyto18","ENSG00000127318","Interleukin 22","12","68248242-68253607","Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"appendix,urinary bladder: 0.8","Not detected",NA,NA
"IL22RA2",99,"D9","IOH35056",393,"0",NA,"interleukin 22 receptor, alpha 2 (IL22RA2), transcript variant 3, mRNA.","NM_181310.1","NP_851827.1",116379,"Hs.126891","CRF2-S1, IL-22BP","ENSG00000164485","Interleukin 22 receptor subunit alpha 2","6","137143820-137173648","Predicted secreted proteins","Evidence at protein level","HPA030582, CAB034906","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"breast: 4.1;tonsil: 2.9","appendix: 1.9","Cell line enhanced",NA,"U-937: 1.0"
"IL22RA2",103,"D7","IOH35318",696,"0",NA,"interleukin 22 receptor, alpha 2 (IL22RA2), transcript variant 2, mRNA.","NM_181309.1","NP_851826.1",116379,"Hs.126891","CRF2-S1, IL-22BP","ENSG00000164485","Interleukin 22 receptor subunit alpha 2","6","137143820-137173648","Predicted secreted proteins","Evidence at protein level","HPA030582, CAB034906","Uncertain",NA,NA,NA,NA,"Mixed","Tissue enhanced",NA,"breast: 4.1;tonsil: 2.9","appendix: 1.9","Cell line enhanced",NA,"U-937: 1.0"
"IL23A",77,"D5","IOH39400",570,"0",NA,"interleukin 23, alpha subunit p19 (IL23A), mRNA.","NM_016584.2","NP_057668.1",51561,"Hs.98309","IL-23, IL-23A, IL23P19, P19, SGRF","ENSG00000110944","Interleukin 23 subunit alpha","12","56334174-56340410","FDA approved drug targets, Predicted secreted proteins","Evidence at protein level","HPA001554","Approved",NA,"Approved","Cytosol",NA,"Expressed in all","Tissue enhanced",NA,"tonsil: 8.0","urinary bladder: 6.5","Cell line enhanced",NA,"A-431: 13.0;CAPAN-2: 22.3;U-266/70: 31.8;U-266/84: 14.0"
"IL23A",155,"E12","IOH61835",570,"0",NA,"interleukin 23, alpha subunit p19, mRNA (cDNA clone MGC:79391 IMAGE:6971851), complete cds","BC066269.1","AAH66269.1",51561,"Hs.98309","IL-23, IL-23A, IL23P19, P19, SGRF","ENSG00000110944","Interleukin 23 subunit alpha","12","56334174-56340410","FDA approved drug targets, Predicted secreted proteins","Evidence at protein level","HPA001554","Approved",NA,"Approved","Cytosol",NA,"Expressed in all","Tissue enhanced",NA,"tonsil: 8.0","urinary bladder: 6.5","Cell line enhanced",NA,"A-431: 13.0;CAPAN-2: 22.3;U-266/70: 31.8;U-266/84: 14.0"
"IL25",98,"E5","IOH40292",534,"0",NA,"interleukin 25 (IL25), transcript variant 1, mRNA.","NM_022789.2","NP_073626.1",64806,"Hs.302036","IL-17E, IL-25, IL17E","ENSG00000166090","Interleukin 25","14","23372809-23376403","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB024864","Approved",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"testis: 0.3","Not detected",NA,NA
"IL25",108,"F9","IOH35138",486,"0",NA,"interleukin 25 (IL25), transcript variant 2, mRNA.","NM_172314.1","NP_758525.1",64806,"Hs.302036","IL-17E, IL-25, IL17E","ENSG00000166090","Interleukin 25","14","23372809-23376403","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB024864","Approved",NA,NA,NA,NA,"Not detected","Not detected",NA,NA,"testis: 0.3","Not detected",NA,NA
"IL26",95,"A3","IOH40165",516,"0",NA,"interleukin 26 (IL26), mRNA.","NM_018402.1","NP_060872.1",55801,"Hs.272350","AK155, IL-26","ENSG00000111536","Interleukin 26","12","68201351-68225821","Plasma proteins, Predicted secreted proteins","Evidence at protein level",NA,NA,NA,NA,NA,NA,"Not detected","Tissue enhanced",NA,"appendix: 1.2;urinary bladder: 1.4","tonsil: 0.9","Cell line enriched",19,"HDLM-2: 12.4"
"IL27",93,"H6","IOH40746",732,"0",NA,"interleukin 27, mRNA (cDNA clone MGC:71873 IMAGE:4703457), complete cds","BC062422.1","AAH62422.1",246778,"Hs.528111","IL-27, IL-27A, IL27A, IL27p28, IL30, MGC71873, p28","ENSG00000197272","Interleukin 27","16","28499362-28512051","Predicted intracellular proteins, Predicted secreted proteins","Evidence at protein level","CAB024722","Approved",NA,NA,NA,"Liver cancer:1.30e-4 (favourable)","Tissue enriched","Tissue enhanced",NA,"liver: 8.0","appendix: 1.6","Cell line enriched",15,"BEWO: 17.2"
